case,layout,seq_index,start,end,target,candidate,max_abs,mean_abs,rmse,ref_rms,rmse_ratio
fixed_baseline,fixed,0,0,16,state_checkpoint,bf16_state,0.0011396727224700642,5.9409904031013975e-05,0.00010369093677057553,0.06287190557968432,0.0016492411962789463
fixed_baseline,fixed,0,0,16,state_checkpoint,fp32_state,5.3140419620234525e-08,1.7918440103503058e-09,3.218877237146651e-09,0.06287190557968432,5.119738629628494e-08
fixed_baseline,fixed,0,0,64,state_checkpoint,bf16_state,0.000498817652725192,3.354796671476536e-05,5.919233718419752e-05,0.03628869532277336,0.0016311508765389736
fixed_baseline,fixed,0,0,64,state_checkpoint,fp32_state,3.3476521305031426e-08,1.0607297270371259e-09,1.9508106440031718e-09,0.03628869532277336,5.375808159129159e-08
fixed_baseline,fixed,0,0,256,final_state,bf16_state,0.0009604072229244531,4.64328887307041e-05,7.97374168785217e-05,0.04793039767521337,0.0016636084978647475
fixed_baseline,fixed,0,0,256,final_state,fp32_state,3.653152186311459e-08,1.384684217651934e-09,2.432557422564534e-09,0.04793039767521337,5.075187230967837e-08
fixed_long_memory,fixed,0,0,16,state_checkpoint,bf16_state,0.0038987773379348667,0.0004533743157629096,0.0006715999838499091,0.4109260448315241,0.0016343573066176882
fixed_long_memory,fixed,0,0,16,state_checkpoint,fp32_state,6.867024513468323e-07,8.539933009198782e-08,1.14383932116044e-07,0.4109260448315241,2.7835649152620724e-07
fixed_long_memory,fixed,0,0,64,state_checkpoint,bf16_state,0.010022617488596453,0.0011670371219854752,0.0015892627663649393,0.6191727879426919,0.0025667516359133584
fixed_long_memory,fixed,0,0,64,state_checkpoint,fp32_state,2.3988123745155576e-06,3.977766686868535e-07,5.09428472475061e-07,0.6191727879426919,8.227565590660479e-07
fixed_long_memory,fixed,0,0,256,final_state,bf16_state,0.019040070921414465,0.002339739005088408,0.003077412172223958,0.8067127991384596,0.003814755605105713
fixed_long_memory,fixed,0,0,256,final_state,fp32_state,7.320047227921123e-06,1.3795089933043046e-06,1.7347697347123424e-06,0.8067127991384596,2.1504180131578605e-06
varlen_stress,varlen,0,0,16,state_checkpoint,bf16_state,0.0004879941691242895,5.494487053876689e-05,8.495535131166524e-05,0.05105086154501333,0.0016641315883916502
varlen_stress,varlen,0,0,16,state_checkpoint,fp32_state,2.1612554801375694e-08,1.6126839183569852e-09,2.6374653295147606e-09,0.05105086154501333,5.1663483234053066e-08
varlen_stress,varlen,0,0,17,final_state,bf16_state,0.0009324173943230096,9.211928910191927e-05,0.00013178422221601674,0.061064802223192764,0.0021581044630971445
varlen_stress,varlen,0,0,17,final_state,fp32_state,3.553404032130558e-08,3.397295213005667e-09,4.907511132719159e-09,0.061064802223192764,8.036562723616352e-08
varlen_stress,varlen,1,0,16,state_checkpoint,bf16_state,0.00048746191462537003,6.514753604624841e-05,9.787424948589174e-05,0.05996293113458338,0.0016322459165016227
varlen_stress,varlen,1,0,16,state_checkpoint,fp32_state,2.9785022004347184e-08,3.346001858729934e-09,4.856449899262001e-09,0.05996293113458338,8.099086898140412e-08
varlen_stress,varlen,1,0,64,state_checkpoint,bf16_state,0.00048794898353840543,6.717135671172014e-05,9.611461337352056e-05,0.05860006960459648,0.0016401791673978064
varlen_stress,varlen,1,0,64,state_checkpoint,fp32_state,2.9636855386483418e-08,3.104089903815698e-09,4.545785340130076e-09,0.05860006960459648,7.757303653054899e-08
varlen_stress,varlen,1,0,65,final_state,bf16_state,0.00048801421108055076,5.113014675660056e-05,8.229901077045399e-05,0.04980596057618061,0.0016523928023549248
varlen_stress,varlen,1,0,65,final_state,fp32_state,2.201480181485138e-08,1.5164632174838004e-09,2.615008136535996e-09,0.04980596057618061,5.250391933584365e-08
varlen_stress,varlen,2,0,16,state_checkpoint,bf16_state,0.00048771666709340744,5.368506137415687e-05,8.651472037070706e-05,0.052741699222191615,0.001640347611976542
varlen_stress,varlen,2,0,16,state_checkpoint,fp32_state,2.1749882367361195e-08,1.5857727895381034e-09,2.7647425209774497e-09,0.052741699222191615,5.242042940880744e-08
varlen_stress,varlen,2,0,64,state_checkpoint,bf16_state,0.00048198018730266634,5.7895013263420514e-05,8.55262034645107e-05,0.053020832176829194,0.0016130679197805344
varlen_stress,varlen,2,0,64,state_checkpoint,fp32_state,2.0453023358291134e-08,1.602896586053064e-09,2.5111060374459448e-09,0.053020832176829194,4.7360743586052796e-08
varlen_stress,varlen,2,0,130,final_state,bf16_state,0.00048770207255241504,5.179128400286128e-05,7.978531446290576e-05,0.04970460052664891,0.0016051897332949937
varlen_stress,varlen,2,0,130,final_state,fp32_state,1.9870299683422132e-08,1.479080632632013e-09,2.4170821817399553e-09,0.04970460052664891,4.86289429173472e-08
